left_score,right_score,left_rank,right_rank,in_left_top5pct,in_right_top5pct
55.3598639682142,56.136180500840105,46.0,45.0,False,False
55.091744071356416,55.86641283599301,47.0,46.0,False,False
52.59206852568217,52.867790612792255,49.0,49.0,False,False
53.27972889920292,53.26498356928536,48.0,48.0,False,False
52.57545406676992,52.67117248323762,50.0,50.0,False,False
50.809206560130065,50.261252554093666,51.0,51.0,False,False
49.41355326577762,49.29402138694616,52.0,52.0,False,False
47.66808902255484,47.615622449284665,53.0,53.0,False,False
47.49724281391011,47.07112638835605,54.0,54.0,False,False
45.778653925448246,46.2032613593165,55.0,55.0,False,False
44.989174605105056,44.27593390779524,56.0,56.0,False,False
43.85478341130513,43.628073923153615,57.0,57.0,False,False
43.14191497824552,42.015476070966685,58.0,59.0,False,False
42.644038857721696,42.892448109847564,59.0,58.0,False,False
40.72220797106675,41.09351070813981,60.0,60.0,False,False
39.50729808318486,39.81794426477882,61.0,62.0,False,False
38.49852172412526,39.95756502800202,62.0,61.0,False,False
37.51586133639106,37.98575686327185,63.0,63.0,False,False
36.284448508101825,35.81345316363173,64.0,65.0,False,False
35.54353296253034,36.87530306602744,66.0,64.0,False,False
35.64663280825723,35.186473821570836,65.0,66.0,False,False
33.7033440158805,34.09771330040506,67.0,67.0,False,False
33.12855382894319,33.50011764133395,68.0,68.0,False,False
31.39155301695544,30.95169150757305,69.0,70.0,False,False
31.08482528995022,31.78249960444251,70.0,69.0,False,False
29.129609275735223,29.30690613510864,71.0,71.0,False,False
28.65062205126016,28.936099346586598,73.0,72.0,False,False
29.12726946356413,28.789402965434018,72.0,73.0,False,False
26.708515154511606,27.35983184071863,74.0,74.0,False,False
26.55998819269569,26.12951921135503,75.0,75.0,False,False
25.2275270625606,24.337947395694645,76.0,77.0,False,False
23.923507111387632,24.6360706012987,77.0,76.0,False,False
22.673946589347526,22.460582195877716,78.0,79.0,False,False
22.643454699206725,22.665139742749258,79.0,78.0,False,False
20.91130827029856,21.872686747129922,80.0,80.0,False,False
20.763712239135874,21.331957913225903,81.0,81.0,False,False
18.640460485002816,18.956815042968362,82.0,82.0,False,False
18.028669493695602,18.56362640815325,83.0,83.0,False,False
17.23274956339523,16.868995218152282,84.0,84.0,False,False
16.18658008651409,16.56312438113467,85.0,85.0,False,False
14.383099244075568,14.938067801428993,86.0,86.0,False,False
13.66796863377851,14.045679761617839,87.0,87.0,False,False
12.902009893316931,12.799942578874465,88.0,88.0,False,False
11.573150345337877,9.69944341627243,89.0,91.0,False,False
11.33866255444002,11.617313810054705,90.0,89.0,False,False
10.2940095906794,10.351447812834968,91.0,90.0,False,False
8.021457772910871,7.836680967344926,92.0,92.0,False,False
7.097372964363331,7.486422277180077,93.0,93.0,False,False
6.359218361590102,6.492069851562704,94.0,94.0,False,False
6.058629765073201,6.160607635821925,95.0,95.0,False,False
6.016586265019402,5.27479077754157,96.0,96.0,False,False
3.808821774766042,3.0791604978594656,97.0,98.0,False,False
3.125325274941487,3.3105932885977976,98.0,97.0,False,False
1.468444147540189,1.5064727039238974,99.0,99.0,False,False
0.47658189203816115,0.5459523383807547,100.0,100.0,False,False
